 

stn;time;tre200s0
MOE;202304041910;5.1
MOE;202304041920;4.8
MOE;202304041930;4.3
MOE;202304041940;3.5
MOE;202304041950;3.5
MOE;202304042000;3.0
MOE;202304042010;2.9
MOE;202304042020;3.3
MOE;202304042030;2.5
MOE;202304042040;2.5
MOE;202304042050;2.3
MOE;202304042100;2.4
MOE;202304042110;2.6
MOE;202304042120;2.9
MOE;202304042130;2.1
MOE;202304042140;3.0
MOE;202304042150;2.2
MOE;202304042200;2.4
MOE;202304042210;2.7
MOE;202304042220;2.5
MOE;202304042230;2.0
MOE;202304042240;1.6
MOE;202304042250;1.3
MOE;202304042300;1.4
MOE;202304042310;1.3
MOE;202304042320;0.9
MOE;202304042330;1.0
MOE;202304042340;0.4
MOE;202304042350;0.3
MOE;202304050000;0.5
MOE;202304050010;0.9
MOE;202304050020;0.3
MOE;202304050030;0.9
MOE;202304050040;0.6
MOE;202304050050;0.9
MOE;202304050100;1.1
MOE;202304050110;1.2
MOE;202304050120;1.1
MOE;202304050130;0.8
MOE;202304050140;0.3
MOE;202304050150;0.1
MOE;202304050200;0.3
MOE;202304050210;0.9
MOE;202304050220;1.0
MOE;202304050230;0.1
MOE;202304050240;-0.6
MOE;202304050250;0.0
MOE;202304050300;-0.2
MOE;202304050310;-0.6
MOE;202304050320;-0.2
MOE;202304050330;-0.5
MOE;202304050340;-0.9
MOE;202304050350;-1.4
MOE;202304050400;-1.3
MOE;202304050410;-1.9
MOE;202304050420;-1.8
MOE;202304050430;-1.7
MOE;202304050440;-1.6
MOE;202304050450;-1.6
MOE;202304050500;-1.9
MOE;202304050510;-2.2
MOE;202304050520;-2.4
MOE;202304050530;-2.3
MOE;202304050540;-2.2
MOE;202304050550;-1.9
MOE;202304050600;-1.6
MOE;202304050610;-1.4
MOE;202304050620;-1.0
MOE;202304050630;-0.5
MOE;202304050640;-0.2
MOE;202304050650;0.1
MOE;202304050700;0.2
MOE;202304050710;0.9
MOE;202304050720;1.4
MOE;202304050730;1.7
MOE;202304050740;2.2
MOE;202304050750;2.4
MOE;202304050800;2.7
MOE;202304050810;3.3
MOE;202304050820;3.6
MOE;202304050830;4.3
MOE;202304050840;4.5
MOE;202304050850;4.7
MOE;202304050900;4.8
MOE;202304050910;4.9
MOE;202304050920;5.1
MOE;202304050930;5.3
MOE;202304050940;5.4
MOE;202304050950;5.8
MOE;202304051000;6.0
MOE;202304051010;6.2
MOE;202304051020;6.5
MOE;202304051030;6.4
MOE;202304051040;6.8
MOE;202304051050;6.9
MOE;202304051100;7.1
MOE;202304051110;7.0
MOE;202304051120;7.3
MOE;202304051130;7.5
MOE;202304051140;7.8
MOE;202304051150;7.7
MOE;202304051200;8.1
MOE;202304051210;8.2
MOE;202304051220;8.3
MOE;202304051230;8.3
MOE;202304051240;8.4
MOE;202304051250;8.6
MOE;202304051300;8.5
MOE;202304051310;8.7
MOE;202304051320;9.2
MOE;202304051330;9.0
MOE;202304051340;9.0
MOE;202304051350;9.3
MOE;202304051400;9.1
MOE;202304051410;9.1
MOE;202304051420;9.3
MOE;202304051430;9.4
MOE;202304051440;9.4
MOE;202304051450;9.5
MOE;202304051500;9.5
MOE;202304051510;9.4
MOE;202304051520;9.6
MOE;202304051530;9.5
MOE;202304051540;9.6
MOE;202304051550;9.6
MOE;202304051600;9.6
MOE;202304051610;9.6
MOE;202304051620;9.4
MOE;202304051630;9.5
MOE;202304051640;9.4
MOE;202304051650;9.2
MOE;202304051700;9.1
MOE;202304051710;9.0
MOE;202304051720;8.6
MOE;202304051730;8.4
MOE;202304051740;8.1
MOE;202304051750;7.9
MOE;202304051800;7.8
MOE;202304051810;7.6
MOE;202304051820;7.6
MOE;202304051830;6.7
MOE;202304051840;5.6
MOE;202304051850;5.9
MOE;202304051900;4.1
MOE;202304051910;3.5
MOE;202304051920;3.7
MOE;202304051930;4.4
MOE;202304051940;3.7
MOE;202304051950;3.5
MOE;202304052000;3.0
MOE;202304052010;3.3
MOE;202304052020;4.2
MOE;202304052030;3.0
MOE;202304052040;4.3
MOE;202304052050;3.3
MOE;202304052100;2.4
MOE;202304052110;2.2
MOE;202304052120;2.0
MOE;202304052130;2.3
MOE;202304052140;2.1
MOE;202304052150;1.8
MOE;202304052200;1.3
MOE;202304052210;1.0
MOE;202304052220;0.8
MOE;202304052230;0.9
MOE;202304052240;0.5
MOE;202304052250;0.5
MOE;202304052300;0.2
MOE;202304052310;0.1
MOE;202304052320;-0.3
MOE;202304052330;0.1
MOE;202304052340;-0.1
MOE;202304052350;-0.3
MOE;202304060000;-0.6
MOE;202304060010;-0.5
MOE;202304060020;-0.6
MOE;202304060030;-0.4
MOE;202304060040;-1.0
MOE;202304060050;-1.1
MOE;202304060100;-0.5
MOE;202304060110;-0.4
MOE;202304060120;-0.7
MOE;202304060130;-1.1
MOE;202304060140;-1.2
MOE;202304060150;-1.2
MOE;202304060200;-1.0
MOE;202304060210;-1.0
MOE;202304060220;-1.1
MOE;202304060230;-1.4
MOE;202304060240;-1.4
MOE;202304060250;-1.0
MOE;202304060300;-1.3
MOE;202304060310;-0.8
MOE;202304060320;-1.1
MOE;202304060330;-1.2
MOE;202304060340;-0.9
MOE;202304060350;-0.5
MOE;202304060400;-0.3
MOE;202304060410;-0.4
MOE;202304060420;-0.6
MOE;202304060430;-0.5
MOE;202304060440;-0.4
MOE;202304060450;-0.5
MOE;202304060500;-0.8
MOE;202304060510;-0.6
MOE;202304060520;-0.4
MOE;202304060530;-0.4
MOE;202304060540;-0.5
MOE;202304060550;-0.4
MOE;202304060600;-0.3
MOE;202304060610;-0.1
MOE;202304060620;0.2
MOE;202304060630;0.4
MOE;202304060640;0.5
MOE;202304060650;0.7
MOE;202304060700;1.1
MOE;202304060710;1.4
MOE;202304060720;1.8
MOE;202304060730;2.2
MOE;202304060740;2.7
MOE;202304060750;3.3
MOE;202304060800;3.7
MOE;202304060810;4.2
MOE;202304060820;4.6
MOE;202304060830;5.0
MOE;202304060840;5.6
MOE;202304060850;6.1
MOE;202304060900;6.8
MOE;202304060910;7.6
MOE;202304060920;7.9
MOE;202304060930;8.1
MOE;202304060940;8.7
MOE;202304060950;9.2
MOE;202304061000;9.6
MOE;202304061010;9.8
MOE;202304061020;9.9
MOE;202304061030;10.1
MOE;202304061040;10.1
MOE;202304061050;10.5
MOE;202304061100;10.8
MOE;202304061110;11.2
MOE;202304061120;11.1
MOE;202304061130;11.1
MOE;202304061140;11.3
MOE;202304061150;11.4
MOE;202304061200;11.3
MOE;202304061210;11.4
MOE;202304061220;11.5
MOE;202304061230;11.8
MOE;202304061240;11.5
MOE;202304061250;11.5
MOE;202304061300;11.7
MOE;202304061310;11.6
MOE;202304061320;11.6
MOE;202304061330;11.7
MOE;202304061340;11.7
MOE;202304061350;11.9
MOE;202304061400;11.6
MOE;202304061410;11.6
MOE;202304061420;11.3
MOE;202304061430;11.4
MOE;202304061440;11.6
MOE;202304061450;11.6
MOE;202304061500;11.6
MOE;202304061510;11.6
MOE;202304061520;11.6
MOE;202304061530;11.7
MOE;202304061540;11.7
MOE;202304061550;11.8
MOE;202304061600;11.8
MOE;202304061610;11.8
MOE;202304061620;11.8
MOE;202304061630;11.5
MOE;202304061640;11.3
MOE;202304061650;11.1
MOE;202304061700;10.9
MOE;202304061710;10.9
MOE;202304061720;11.0
MOE;202304061730;11.0
MOE;202304061740;10.5
MOE;202304061750;10.9
MOE;202304061800;10.6
MOE;202304061810;10.4
MOE;202304061820;10.0
MOE;202304061830;9.4
MOE;202304061840;9.1
MOE;202304061850;9.3
MOE;202304061900;9.2
MOE;202304061910;9.0
MOE;202304061920;8.4
MOE;202304061930;9.3
MOE;202304061940;9.4
MOE;202304061950;9.6
MOE;202304062000;9.6
MOE;202304062010;9.4
MOE;202304062020;9.3
MOE;202304062030;9.2
MOE;202304062040;9.1
MOE;202304062050;9.1
MOE;202304062100;9.1
MOE;202304062110;8.9
MOE;202304062120;8.9
MOE;202304062130;8.7
MOE;202304062140;8.2
MOE;202304062150;8.1
MOE;202304062200;7.9
MOE;202304062210;7.9
MOE;202304062220;7.8
MOE;202304062230;7.7
MOE;202304062240;8.1
MOE;202304062250;8.8
MOE;202304062300;8.7
MOE;202304062310;8.6
MOE;202304062320;8.6
MOE;202304062330;8.6
MOE;202304062340;7.9
MOE;202304062350;7.7
MOE;202304070000;7.4
MOE;202304070010;7.1
MOE;202304070020;7.2
MOE;202304070030;7.4
MOE;202304070040;7.2
MOE;202304070050;7.2
MOE;202304070100;6.9
MOE;202304070110;6.9
MOE;202304070120;6.9
MOE;202304070130;7.3
MOE;202304070140;7.1
MOE;202304070150;7.1
MOE;202304070200;6.9
MOE;202304070210;6.8
MOE;202304070220;6.3
MOE;202304070230;6.3
MOE;202304070240;6.0
MOE;202304070250;6.0
MOE;202304070300;6.2
MOE;202304070310;5.8
MOE;202304070320;5.9
MOE;202304070330;5.7
MOE;202304070340;5.2
MOE;202304070350;5.8
MOE;202304070400;5.5
MOE;202304070410;5.6
MOE;202304070420;5.7
MOE;202304070430;5.4
MOE;202304070440;5.2
MOE;202304070450;5.4
MOE;202304070500;5.8
MOE;202304070510;5.9
