 

stn;time;tre200s0
GRA;202305110840;10.7
GRA;202305110850;10.7
GRA;202305110900;10.6
GRA;202305110910;10.9
GRA;202305110920;11.5
GRA;202305110930;11.6
GRA;202305110940;11.6
GRA;202305110950;12.1
GRA;202305111000;12.4
GRA;202305111010;12.1
GRA;202305111020;11.9
GRA;202305111030;12.0
GRA;202305111040;12.1
GRA;202305111050;12.5
GRA;202305111100;12.4
GRA;202305111110;12.3
GRA;202305111120;12.1
GRA;202305111130;10.8
GRA;202305111140;9.8
GRA;202305111150;9.6
GRA;202305111200;9.4
GRA;202305111210;9.5
GRA;202305111220;9.5
GRA;202305111230;9.7
GRA;202305111240;10.0
GRA;202305111250;10.7
GRA;202305111300;11.4
GRA;202305111310;11.3
GRA;202305111320;11.3
GRA;202305111330;11.4
GRA;202305111340;12.2
GRA;202305111350;12.8
GRA;202305111400;13.2
GRA;202305111410;13.6
GRA;202305111420;13.8
GRA;202305111430;13.8
GRA;202305111440;13.3
GRA;202305111450;13.4
GRA;202305111500;12.8
GRA;202305111510;12.1
GRA;202305111520;11.4
GRA;202305111530;10.6
GRA;202305111540;10.3
GRA;202305111550;10.3
GRA;202305111600;10.3
GRA;202305111610;10.1
GRA;202305111620;9.9
GRA;202305111630;10.0
GRA;202305111640;10.4
GRA;202305111650;10.6
GRA;202305111700;10.8
GRA;202305111710;10.7
GRA;202305111720;10.7
GRA;202305111730;10.5
GRA;202305111740;10.4
GRA;202305111750;10.3
GRA;202305111800;10.4
GRA;202305111810;10.3
GRA;202305111820;10.2
GRA;202305111830;10.1
GRA;202305111840;10.1
GRA;202305111850;10.0
GRA;202305111900;10.0
GRA;202305111910;9.5
GRA;202305111920;9.3
GRA;202305111930;9.1
GRA;202305111940;9.1
GRA;202305111950;9.0
GRA;202305112000;9.0
GRA;202305112010;8.7
GRA;202305112020;8.8
GRA;202305112030;8.9
GRA;202305112040;8.9
GRA;202305112050;9.0
GRA;202305112100;8.7
GRA;202305112110;8.7
GRA;202305112120;8.5
GRA;202305112130;8.3
GRA;202305112140;8.4
GRA;202305112150;8.5
GRA;202305112200;8.3
GRA;202305112210;8.4
GRA;202305112220;8.4
GRA;202305112230;8.1
GRA;202305112240;7.8
GRA;202305112250;7.8
GRA;202305112300;7.9
GRA;202305112310;8.0
GRA;202305112320;7.9
GRA;202305112330;7.8
GRA;202305112340;7.7
GRA;202305112350;7.7
GRA;202305120000;7.7
GRA;202305120010;7.8
GRA;202305120020;7.8
GRA;202305120030;7.8
GRA;202305120040;7.8
GRA;202305120050;7.8
GRA;202305120100;7.6
GRA;202305120110;7.7
GRA;202305120120;7.8
GRA;202305120130;7.9
GRA;202305120140;7.9
GRA;202305120150;7.9
GRA;202305120200;7.8
GRA;202305120210;7.9
GRA;202305120220;7.9
GRA;202305120230;7.9
GRA;202305120240;7.9
GRA;202305120250;7.9
GRA;202305120300;7.8
GRA;202305120310;7.9
GRA;202305120320;7.9
GRA;202305120330;7.9
GRA;202305120340;7.9
GRA;202305120350;7.9
GRA;202305120400;7.9
GRA;202305120410;7.9
GRA;202305120420;7.9
GRA;202305120430;8.0
GRA;202305120440;8.1
GRA;202305120450;8.1
GRA;202305120500;8.2
GRA;202305120510;8.3
GRA;202305120520;8.3
GRA;202305120530;8.3
GRA;202305120540;8.4
GRA;202305120550;8.5
GRA;202305120600;8.5
GRA;202305120610;8.5
GRA;202305120620;8.6
GRA;202305120630;8.7
GRA;202305120640;8.8
GRA;202305120650;8.9
GRA;202305120700;8.7
GRA;202305120710;8.7
GRA;202305120720;8.9
GRA;202305120730;9.1
GRA;202305120740;9.1
GRA;202305120750;9.3
GRA;202305120800;9.5
GRA;202305120810;9.6
GRA;202305120820;9.9
GRA;202305120830;10.1
GRA;202305120840;10.4
GRA;202305120850;10.7
GRA;202305120900;10.5
GRA;202305120910;11.1
GRA;202305120920;11.6
GRA;202305120930;10.8
GRA;202305120940;10.9
GRA;202305120950;11.1
GRA;202305121000;11.0
GRA;202305121010;10.9
GRA;202305121020;11.1
GRA;202305121030;11.4
GRA;202305121040;12.1
GRA;202305121050;11.9
GRA;202305121100;12.1
GRA;202305121110;12.5
GRA;202305121120;12.5
GRA;202305121130;13.2
GRA;202305121140;13.5
GRA;202305121150;13.1
GRA;202305121200;12.8
GRA;202305121210;13.1
GRA;202305121220;13.8
GRA;202305121230;14.5
GRA;202305121240;14.8
GRA;202305121250;14.4
GRA;202305121300;13.9
GRA;202305121310;14.1
GRA;202305121320;14.2
GRA;202305121330;13.6
GRA;202305121340;13.4
GRA;202305121350;13.6
GRA;202305121400;13.7
GRA;202305121410;13.5
GRA;202305121420;14.1
GRA;202305121430;13.9
GRA;202305121440;14.1
GRA;202305121450;14.3
GRA;202305121500;13.8
GRA;202305121510;12.7
GRA;202305121520;12.4
GRA;202305121530;12.4
GRA;202305121540;12.8
GRA;202305121550;13.1
GRA;202305121600;13.3
GRA;202305121610;14.4
GRA;202305121620;14.1
GRA;202305121630;13.4
GRA;202305121640;13.3
GRA;202305121650;13.1
GRA;202305121700;13.0
GRA;202305121710;13.1
GRA;202305121720;12.9
GRA;202305121730;11.8
GRA;202305121740;11.4
GRA;202305121750;11.5
GRA;202305121800;11.5
GRA;202305121810;11.5
GRA;202305121820;11.5
GRA;202305121830;11.4
GRA;202305121840;11.0
GRA;202305121850;10.9
GRA;202305121900;11.0
GRA;202305121910;10.6
GRA;202305121920;10.7
GRA;202305121930;10.5
GRA;202305121940;11.0
GRA;202305121950;10.4
GRA;202305122000;10.1
GRA;202305122010;10.0
GRA;202305122020;9.8
GRA;202305122030;9.9
GRA;202305122040;9.8
GRA;202305122050;9.5
GRA;202305122100;9.2
GRA;202305122110;9.0
GRA;202305122120;8.9
GRA;202305122130;8.9
GRA;202305122140;8.6
GRA;202305122150;8.5
GRA;202305122200;8.7
GRA;202305122210;8.2
GRA;202305122220;8.6
